sku,model_number,name,category,msrp,final_price,description,bullet_features,uri,release_date,in_stock
16Z90TP-K.ADL6U1,MD09034651,"LG gram Pro 16 Inch, Thin and Lightweight Laptop, Windows 11 Home, Intel® Evo™ Edition - Intel® Core™ Ultra 7, 32GB RAM, 1TB SSD, Metal Blue","[""b2c"", ""computing"", ""laptops"", ""lg_gram_pro_laptops""]",2299.99,2299.9900,,"[{""priority"": ""1"", ""bullet_feature"": ""An ultra-portable 16\"" OLED laptop that's just over 2.7lbs and only 0.5\"" thin""}, {""priority"": ""2"", ""bullet_feature"": ""Windows 11 Home with Copilot: AI-driven tools for productivity, creativity, and accessibility""}, {""priority"": ""3"", ""bullet_feature"": ""Intel®¹ Core™ Ultra 7 (Series 2) for cutting-edge AI power and next-gen efficiency""}, {""priority"": ""4"", ""bullet_feature"": ""gram Hybrid AI: On-device smarts plus cloud-powered AI for ultimate productivity²""}, {""priority"": ""5"", ""bullet_feature"": ""LG gram Link app offers easy iOS and Android integration of up to 10 devices⁵""}, {""priority"": ""6"", ""bullet_feature"": ""Experience up to 19.5 hours of video playback⁴ with AI-optimized battery efficiency""}, {""priority"": ""8"", ""bullet_feature"": ""16\"" VRR (48Hz - 120Hz) OLED display with immaculate color and deep blacks""}]",https://lg.com/us/laptops/lg-16z90tp-k.adl6u1-gram-laptop,2025-02-15T00:00:00+00:00,Y
16Z90TS-G.AUG9U1,MD09034652,"LG gram Pro 16 Inch, Copilot+ PC, Thin and Lightweight Laptop, Windows 11 Home, Intel® Evo™ Edition - Intel® Core™ Ultra 9, 32GB RAM, 2TB (2x1TB) SSD, Metal Gray","[""b2c"", ""computing"", ""laptops"", ""lg_gram_copilot_pc_laptops""]",2549.99,2549.9900,,"[{""priority"": ""1"", ""bullet_feature"": ""An ultra-portable 16\"" IPS laptop that's just over 2.7lbs and 0.5” thin""}, {""priority"": ""2"", ""bullet_feature"": ""Experience seamless productivity with Copilot+ PC’s advanced AI capabilities""}, {""priority"": ""3"", ""bullet_feature"": ""Intel®¹ Core™ Ultra 9 (Series 2) processor powers seamless AI performance and speed""}, {""priority"": ""4"", ""bullet_feature"": ""gram Hybrid AI: On-device smarts plus cloud-powered AI for ultimate productivity²""}, {""priority"": ""5"", ""bullet_feature"": ""LG gram Link app offers easy iOS and Android integration of up to 10 devices⁵""}, {""priority"": ""6"", ""bullet_feature"": ""Experience up to 25.5 hours⁴ of video playback with AI-optimized battery efficiency""}, {""priority"": ""7"", ""bullet_feature"": ""16\"" VRR (31Hz - 144Hz) IPS display for impeccable color at wide viewing angles""}]",https://lg.com/us/laptops/lg-16z90ts-g.aug9u1-gram-laptop,2025-02-15T00:00:00+00:00,Y
17Z90TP-G.AAB4U1,MD09034653,"LG gram Pro 17 Inch, Thin and Lightweight Laptop, Windows 11 Home, Intel® Evo™ Edition - Intel® Core™ Ultra 7, 16GB RAM, 1TB SSD, Black","[""b2c"", ""computing"", ""laptops"", ""lg_gram_pro_laptops""]",2199.99,2199.9900,,"[{""priority"": ""1"", ""bullet_feature"": ""An ultra-portable 17\"" IPS laptop that's just over 3lbs and only 0.57” thin""}, {""priority"": ""2"", ""bullet_feature"": ""Windows 11 with Copilot: AI-driven tools for productivity, creativity, and accessibility""}, {""priority"": ""3"", ""bullet_feature"": ""Intel®¹ Core™ Ultra 7 processor (Series 2) for cutting-edge AI power and next-gen efficiency""}, {""priority"": ""4"", ""bullet_feature"": ""gram Hybrid AI: On-device smarts plus cloud-powered AI for ultimate productivity²""}, {""priority"": ""5"", ""bullet_feature"": ""LG gram Link⁵ app offers easy iOS and Android integration of up to 10 devices""}, {""priority"": ""6"", ""bullet_feature"": ""Experience up to 25.5 hours of video playback⁴ with AI-optimized battery efficiency""}, {""priority"": ""8"", ""bullet_feature"": ""17\"" VRR (31Hz - 144Hz) IPS display for impeccable color at wide viewing angles""}]",https://lg.com/us/laptops/lg-17z90tp-g.aab4u1-gram-laptop,2025-02-15T00:00:00+00:00,Y
17Z90TP-G.ADB7U1,MD09034654,"LG gram Pro 17 Inch, Thin and Lightweight Laptop, Windows 11 Home, Intel® Evo™ Edition - Intel® Core™ Ultra 7, 32GB RAM, 2TB (2x1TB) SSD, Black","[""b2c"", ""computing"", ""laptops"", ""lg_gram_pro_laptops""]",2549.99,2549.9900,,"[{""priority"": ""1"", ""bullet_feature"": ""An ultra-portable 17\"" IPS laptop that's just over 3lbs and only 0.57” thin""}, {""priority"": ""2"", ""bullet_feature"": ""Windows 11 with Copilot: AI-driven tools for productivity, creativity, and accessibility""}, {""priority"": ""3"", ""bullet_feature"": ""Intel®¹ Core™ Ultra 7 processor (Series 2) for cutting-edge AI power and next-gen efficiency""}, {""priority"": ""4"", ""bullet_feature"": ""gram Hybrid AI: On-device smarts plus cloud-powered AI for ultimate productivity²""}, {""priority"": ""5"", ""bullet_feature"": ""LG gram Link⁵ app offers easy iOS and Android integration of up to 10 devices""}, {""priority"": ""6"", ""bullet_feature"": ""Experience up to 25.5 hours of video playback⁴ with AI-optimized battery efficiency""}, {""priority"": ""7"", ""bullet_feature"": ""17\"" VRR (31Hz - 144Hz) IPS display for impeccable color at wide viewing angles""}]",https://lg.com/us/laptops/lg-17z90tp-g.adb7u1-gram-laptop,2025-02-15T00:00:00+00:00,Y
16T90TP-K.AAB4U1,MD09034656,"LG gram Pro 2-in-1 16 Inch, Thin and Lightweight Laptop, Windows 11 Home, Intel® Evo Edition - Intel® Core™ Ultra 7, 16GB RAM, 1TB SSD, Black","[""b2c"", ""computing"", ""laptops"", ""lg_gram_pro_2_in_1_laptops""]",2099.99,2099.9900,,"[{""priority"": ""1"", ""bullet_feature"": ""An AI-enabled, 16” OLED 2-in-1 laptop that’s just over 3lbs and 0.5” thin""}, {""priority"": ""2"", ""bullet_feature"": ""Windows 11 Home with Copilot: AI-driven tools for productivity, creativity, and accessibility""}, {""priority"": ""3"", ""bullet_feature"": ""Intel®¹ Core™ Ultra 7 (Series 2) for cutting-edge AI power and next-gen efficiency""}, {""priority"": ""4"", ""bullet_feature"": ""gram Hybrid AI: On-device smarts plus cloud-powered AI for ultimate productivity²""}, {""priority"": ""5"", ""bullet_feature"": ""LG gram Link⁵ app offers easy iOS and Android integration of up to 10 devices""}, {""priority"": ""6"", ""bullet_feature"": ""Experience up to 19 hours of video playback⁴ with AI-optimized battery efficiency""}, {""priority"": ""7"", ""bullet_feature"": ""16\"" VRR (48Hz - 120Hz) OLED touch display with immaculate color and deep blacks""}]",https://lg.com/us/laptops/lg-16t90tp-k.aab4u1-gram-laptop,2025-02-15T00:00:00+00:00,Y
16T90TP-K.ADB7U1,MD09034657,"LG gram Pro 2-in-1 16 Inch, Thin and Lightweight Laptop, Windows 11 Home, Intel® Evo Edition - Intel® Core™ Ultra 7, 32GB RAM, 2TB (2x1TB) SSD, Black","[""b2c"", ""computing"", ""laptops"", ""lg_gram_pro_2_in_1_laptops""]",2549.99,2549.9900,,"[{""priority"": ""1"", ""bullet_feature"": ""An AI-enabled, 16” OLED 2-in-1 laptop that’s just over 3lbs and 0.5” thin""}, {""priority"": ""2"", ""bullet_feature"": ""Windows 11 Home with Copilot: AI-driven tools for productivity, creativity, and accessibility""}, {""priority"": ""3"", ""bullet_feature"": ""Intel®¹ Core™ Ultra 7 (Series 2) for cutting-edge AI power and next-gen efficiency""}, {""priority"": ""4"", ""bullet_feature"": ""gram Hybrid AI: On-device smarts plus cloud-powered AI for ultimate productivity²""}, {""priority"": ""5"", ""bullet_feature"": ""LG gram Link⁵ app offers easy iOS and Android integration of up to 10 devices""}, {""priority"": ""6"", ""bullet_feature"": ""Experience up to 19 hours of video playback⁴ with AI-optimized battery efficiency""}, {""priority"": ""7"", ""bullet_feature"": ""16\"" VRR (48Hz - 120Hz) OLED touch display with immaculate color and deep blacks""}]",https://lg.com/us/laptops/lg-16t90tp-k.adb7u1-gram-laptop,2025-02-28T00:00:00+00:00,Y
16Z90TS-G.AUG4U1,MD09034658,"LG gram Pro 16 Inch, Copilot+ PC, Thin and Lightweight Laptop, Windows 11 Home, Intel® Evo™ Edition - Intel® Core™ Ultra 7, 16GB RAM, 1TB SSD, Metal Gray","[""b2c"", ""computing"", ""laptops"", ""lg_gram_copilot_pc_laptops""]",1999.99,1999.9900,,"[{""priority"": ""1"", ""bullet_feature"": ""An ultra-portable 16\"" IPS laptop that's just over 2.7lbs and 0.5” thin""}, {""priority"": ""2"", ""bullet_feature"": ""Experience seamless productivity with Copilot+ PC’s advanced AI capabilities""}, {""priority"": ""3"", ""bullet_feature"": ""Intel®¹ Core™ Ultra 7 (Series 2) processor powers seamless AI performance and speed""}, {""priority"": ""4"", ""bullet_feature"": ""gram Hybrid AI: On-device smarts plus cloud-powered AI for ultimate productivity²""}, {""priority"": ""5"", ""bullet_feature"": ""LG gram Link app offers easy iOS and Android integration of up to 10 devices⁵""}, {""priority"": ""6"", ""bullet_feature"": ""Experience up to 25.5 hours⁴ of video playback with AI-optimized battery efficiency""}, {""priority"": ""7"", ""bullet_feature"": ""16\"" VRR (31Hz - 144Hz) IPS display for impeccable color at wide viewing angles""}]",https://lg.com/us/laptops/lg-16z90ts-g.aug4u1-gram-laptop,2025-02-15T00:00:00+00:00,Y
16Z90TS-G.AUG7U1,MD09034659,"LG gram Pro 16 Inch, Copilot+ PC, Thin and Lightweight Laptop, Windows 11 Home, Intel® Evo™ Edition - Intel® Core™ Ultra 7, 32GB RAM, 2TB (2x1TB) SSD, Metal Gray","[""b2c"", ""computing"", ""laptops"", ""lg_gram_copilot_pc_laptops""]",2199.99,2199.9900,,"[{""priority"": ""1"", ""bullet_feature"": ""An ultra-portable 16\"" IPS laptop that's just over 2.7lbs and 0.5” thin""}, {""priority"": ""2"", ""bullet_feature"": ""Experience seamless productivity with Copilot+ PC’s advanced AI capabilities""}, {""priority"": ""3"", ""bullet_feature"": ""Intel®¹ Core™ Ultra 7 (Series 2) processor powers seamless AI performance and speed""}, {""priority"": ""4"", ""bullet_feature"": ""gram Hybrid AI: On-device smarts plus cloud-powered AI for ultimate productivity²""}, {""priority"": ""5"", ""bullet_feature"": ""LG gram Link app offers easy iOS and Android integration of up to 10 devices⁵""}, {""priority"": ""6"", ""bullet_feature"": ""Experience up to 25.5 hours⁴ of video playback with AI-optimized battery efficiency""}, {""priority"": ""7"", ""bullet_feature"": ""16\"" VRR (31Hz - 144Hz) IPS display for impeccable color at wide viewing angles""}]",https://lg.com/us/laptops/lg-16z90ts-g.aug7u1-gram-laptop,2025-02-15T00:00:00+00:00,Y
17Z90TL-G.AUB5U1,MD09034660,"LG gram 17 Inch, Copilot+ PC, Thin and Lightweight Laptop, Windows 11 Home, Intel Evo Edition - Intel® Core™ Ultra 7, 16GB RAM, 2TB (2x1TB) SSD, Black","[""b2c"", ""computing"", ""laptops"", ""lg_gram_copilot_pc_laptops""]",2099.99,2099.9900,,"[{""priority"": ""1"", ""bullet_feature"": ""This 17” powerhouse is just 0.7” thin and an impressively light 3.08 lbs.""}, {""priority"": ""2"", ""bullet_feature"": ""Experience seamless productivity with Copilot+ PC’s advanced AI capabilities""}, {""priority"": ""3"", ""bullet_feature"": ""Intel®¹ Core™ Ultra 7 (Series 2) processor powers seamless AI performance and speed""}, {""priority"": ""4"", ""bullet_feature"": ""gram Hybrid AI: On-device smarts plus cloud-powered AI for ultimate productivity²""}, {""priority"": ""5"", ""bullet_feature"": ""LG gram Link⁵ app offers easy iOS and Android integration of up to 10 devices""}, {""priority"": ""6"", ""bullet_feature"": ""Enjoy up to 24.5 hours of video playback⁴ with a powerful 77Wh battery""}, {""priority"": ""7"", ""bullet_feature"": ""Passed 7 military-grade durability tests³ to handle your adventures and daily grind""}]",https://lg.com/us/laptops/lg-17z90tl-g.aub5u1-gram-laptop,2025-02-15T00:00:00+00:00,Y
16Z90TL-H.AUB9U1,MD09034661,"LG gram 16 Inch, Copilot+ PC, Thin and Lightweight Laptop, Windows 11 Home, Intel Evo Edition - Intel® Core™ Ultra 9, 32GB RAM, 2TB (2x1TB) SSD, Black","[""b2c"", ""computing"", ""laptops"", ""lg_gram_copilot_pc_laptops""]",2199.99,2199.9900,,"[{""priority"": ""1"", ""bullet_feature"": ""This 16” powerhouse is just 0.70” thin and an impressively light 2.9 lbs.""}, {""priority"": ""2"", ""bullet_feature"": ""Experience seamless productivity with Copilot+ PC’s advanced AI capabilities""}, {""priority"": ""3"", ""bullet_feature"": ""Intel®¹ Core™ Ultra 9 (Series 2) processor powers seamless AI performance and speed ""}, {""priority"": ""4"", ""bullet_feature"": ""gram Hybrid AI: On-device smarts plus cloud-powered AI for ultimate productivity²""}, {""priority"": ""5"", ""bullet_feature"": ""LG gram Link⁵ app offers easy iOS and Android integration of up to 10 devices""}, {""priority"": ""6"", ""bullet_feature"": ""Enjoy up to 27.5 hours of video playback⁴ with a powerful 77Wh battery""}, {""priority"": ""7"", ""bullet_feature"": ""Passed 7 military-grade durability tests³ to handle your adventures and daily grind""}]",https://lg.com/us/laptops/lg-16z90tl-h.aub9u1-gram-laptop,2025-02-15T00:00:00+00:00,Y
